"qtr_year";"region";"total_count";"region_area";"population";"tran_p_ha";"tran_p_pop"
2004-01-01;"Kopli";20;282;7082;0,0709219858156028;0,00282406099971759
2004-01-01;"Kose";18;346;3337;0,0520231213872832;0,0053940665268205
2004-01-01;"Kurepõllu";14;68;3890;0,205882352941176;0,00359897172236504
2004-01-01;"Kuristiku";43;84;11103;0,511904761904762;0,0038728271638296
2004-01-01;"Laagna";131;136;24093;0,963235294117647;0,00543726393558295
2004-01-01;"Laagri";1;41;906;0,024390243902439;0,0011037527593819
2004-01-01;"Lepiku";17;162;1565;0,104938271604938;0,0108626198083067
2004-01-01;"Lilleküla";94;546;26051;0,172161172161172;0,00360830678284903
2004-01-01;"Maakri";11;13;1082;0,846153846153846;0,0101663585951941
2004-01-01;"Mähe";15;282;6509;0,0531914893617021;0,00230450145951759
2004-01-01;"Männiku";18;447;5870;0,0402684563758389;0,0030664395229983
2004-01-01;"Merivälja";10;163;3088;0,0613496932515337;0,00323834196891192
2004-01-01;"Mustakivi";77;116;20055;0,663793103448276;0,00383944153577661
2004-01-01;"Mustamäe";227;441;51293;0,514739229024943;0,00442555514397676
2004-01-01;"Mustjõe";2;179;3167;0,0111731843575419;0,000631512472371329
2004-01-01;"Nõmme";34;480;6685;0,0708333333333333;0,00508601346297681
2004-01-01;"Pääsküla";20;661;9879;0,0302571860816944;0,00202449640651888
2004-01-01;"Pae";61;58;13807;1,05172413793103;0,00441804881581806
2004-01-01;"Paljassaare";3;395;512;0,00759493670886076;0,005859375
2004-01-01;"Pelgulinn";52;238;16003;0,218487394957983;0,00324939073923639
2004-01-01;"Pelguranna";79;100;14968;0,79;0,00527792624265099
2004-01-01;"Pikaliiva";2;447;3241;0,00447427293064877;0,000617093489663684
2004-01-01;"Pirita";6;173;1019;0,0346820809248555;0,00588812561334642
2004-01-01;"Priisle";29;185;11077;0,156756756756757;0,00261803737474045
2004-01-01;"Rahumäe";2;162;3092;0,0123456790123457;0,000646830530401035
2004-01-01;"Raua";27;31;6088;0,870967741935484;0,00443495400788436
2004-01-01;"Raudalu";1;180;749;0,00555555555555556;0,00133511348464619
2004-01-01;"Sääse";47;61;8981;0,770491803278688;0,00523327023716735
2004-01-01;"Sadama";32;139;3464;0,23021582733813;0,0092378752886836
2004-01-01;"Seli";58;95;12816;0,610526315789474;0,00452559300873908
2004-01-01;"Sibulaküla";14;13;2310;1,07692307692308;0,00606060606060606
2004-01-01;"Siili";12;26;3642;0,461538461538462;0,00329489291598023
2004-01-01;"Sikupilli";70;135;11901;0,518518518518518;0,00588185866733888
2004-01-01;"Sitsi";18;45;3865;0,4;0,00465717981888745
2004-01-01;"Südalinn";1;25;166;0,04;0,00602409638554217
2004-01-01;"Tatari";8;22;2449;0,363636363636364;0,00326663944467129
2004-01-01;"Tiskre";1;139;1940;0,00719424460431655;0,000515463917525773
2004-01-01;"Tondi";13;133;3989;0,0977443609022556;0,00325896214590123
2004-01-01;"Tõnismäe";36;22;1460;1,63636363636364;0,0246575342465753
2004-01-01;"Torupilli";19;51;3912;0,372549019607843;0,00485685071574642
2004-01-01;"Ülemiste";9;340;1443;0,0264705882352941;0,00623700623700624
2004-01-01;"Uus Maailm";52;65;7677;0,8;0,00677347922365507
2004-01-01;"Uuslinn";1;22;381;0,0454545454545455;0,0026246719160105
2004-01-01;"Väike-Õismäe";153;218;27150;0,701834862385321;0,0056353591160221
2004-01-01;"Vana-Mustamäe";1;198;2064;0,00505050505050505;0,000484496124031008
2004-01-01;"Vanalinn";41;110;4906;0,372727272727273;0,00835711373827966
2004-01-01;"Veerenni";34;92;4077;0,369565217391304;0,00833946529310768
2004-04-01;"Astangu";19;207;3344;0,0917874396135266;0,00568181818181818
2004-04-01;"Haabersti";48;97;822;0,494845360824742;0,0583941605839416
2004-04-01;"Hiiu";7;263;3970;0,026615969581749;0,0017632241813602
2004-04-01;"Järve";15;105;2957;0,142857142857143;0,00507270882651336
2004-04-01;"Juhkentali";11;130;1374;0,0846153846153846;0,00800582241630277
2004-04-01;"Kadaka";34;281;3791;0,120996441281139;0,00896860986547085
2004-04-01;"Kadriorg";54;256;5010;0,2109375;0,0107784431137725
2004-04-01;"Kalamaja";60;210;10756;0,285714285714286;0,00557828188917813
2004-04-01;"Karjamaa";22;97;5240;0,22680412371134;0,00419847328244275
2004-04-01;"Kassisaba";33;45;4766;0,733333333333333;0,00692404532102392
2004-04-01;"Katleri";29;38;5133;0,763157894736842;0,00564971751412429
2004-04-01;"Keldrimäe";22;35;5268;0,628571428571429;0,00417615793470008
2004-04-01;"Kelmiküla";4;21;1266;0,19047619047619;0,00315955766192733
2004-04-01;"Kitseküla";43;140;4250;0,307142857142857;0,0101176470588235
2004-04-01;"Kivimäe";10;222;4809;0,045045045045045;0,00207943439384487
2004-04-01;"Kompassi";14;16;1982;0,875;0,0070635721493441
2004-04-01;"Kopli";21;282;7082;0,074468085106383;0,00296526404970347
2004-04-01;"Kose";16;346;3337;0,046242774566474;0,00479472580161822
2004-04-01;"Kurepõllu";26;68;3890;0,382352941176471;0,00668380462724936
2004-04-01;"Kuristiku";48;84;11103;0,571428571428571;0,00432315590380978
2004-04-01;"Laagna";123;136;24093;0,904411764705882;0,00510521728302827
2004-04-01;"Laagri";3;41;906;0,0731707317073171;0,0033112582781457
2004-04-01;"Lepiku";5;162;1565;0,0308641975308642;0,00319488817891374
2004-04-01;"Liiva";2;264;1333;0,00757575757575758;0,00150037509377344
2004-04-01;"Lilleküla";141;546;26051;0,258241758241758;0,00541246017427354
2004-04-01;"Loopealse";3;57;2682;0,0526315789473684;0,00111856823266219
2004-04-01;"Maakri";12;13;1082;0,923076923076923;0,011090573012939
2004-04-01;"Maarjamäe";2;155;2493;0,0129032258064516;0,000802246289610911
2004-04-01;"Mähe";15;282;6509;0,0531914893617021;0,00230450145951759
2004-04-01;"Männiku";21;447;5870;0,0469798657718121;0,00357751277683135
2004-04-01;"Merivälja";5;163;3088;0,0306748466257669;0,00161917098445596
2004-04-01;"Mustakivi";79;116;20055;0,681034482758621;0,00393916728995263
2004-04-01;"Mustamäe";233;441;51293;0,528344671201814;0,00454253016980875
2004-04-01;"Mustjõe";3;179;3167;0,0167597765363128;0,000947268708556994
2004-04-01;"Nõmme";4;480;6685;0,00833333333333333;0,000598354525056096
2004-04-01;"Pääsküla";67;661;9879;0,101361573373676;0,00678206296183824
2004-04-01;"Pae";66;58;13807;1,13793103448276;0,00478018396465561
2004-04-01;"Paljassaare";4;395;512;0,010126582278481;0,0078125
2004-04-01;"Pelgulinn";58;238;16003;0,243697478991597;0,00362432043991752
2004-04-01;"Pelguranna";77;100;14968;0,77;0,00514430785676109
2004-04-01;"Pikaliiva";26;447;3241;0,058165548098434;0,00802221536562789
2004-04-01;"Pirita";8;173;1019;0,046242774566474;0,00785083415112856
2004-04-01;"Priisle";30;185;11077;0,162162162162162;0,00270831452559357
2004-04-01;"Rahumäe";3;162;3092;0,0185185185185185;0,000970245795601552
2004-04-01;"Raua";23;31;6088;0,741935483870968;0,00377792378449409
2004-04-01;"Raudalu";2;180;749;0,0111111111111111;0,00267022696929239
2004-04-01;"Sääse";37;61;8981;0,60655737704918;0,00411980848457855
2004-04-01;"Sadama";34;139;3464;0,244604316546763;0,00981524249422633
2004-04-01;"Seli";59;95;12816;0,621052631578947;0,00460362047440699
2004-04-01;"Sibulaküla";20;13;2310;1,53846153846154;0,00865800865800866
2004-04-01;"Siili";15;26;3642;0,576923076923077;0,00411861614497529
2004-04-01;"Sikupilli";79;135;11901;0,585185185185185;0,00663809763885388
2004-04-01;"Sitsi";9;45;3865;0,2;0,00232858990944373
2004-04-01;"Sõjamäe";1;747;128;0,00133868808567604;0,0078125
2004-04-01;"Tatari";11;22;2449;0,5;0,00449162923642303
2004-04-01;"Tiskre";1;139;1940;0,00719424460431655;0,000515463917525773
2004-04-01;"Tondi";10;133;3989;0,075187969924812;0,00250689395838556
2004-04-01;"Tõnismäe";42;22;1460;1,90909090909091;0,0287671232876712
2004-04-01;"Torupilli";24;51;3912;0,470588235294118;0,00613496932515337
2004-04-01;"Ülemiste";10;340;1443;0,0294117647058824;0,00693000693000693
2004-04-01;"Ülemistejärve";2;1396;194;0,00143266475644699;0,0103092783505155
2004-04-01;"Uus Maailm";75;65;7677;1,15384615384615;0,00976944118796405
2004-04-01;"Uuslinn";3;22;381;0,136363636363636;0,0078740157480315
2004-04-01;"Väike-Õismäe";123;218;27150;0,564220183486238;0,00453038674033149
2004-04-01;"Vana-Mustamäe";3;198;2064;0,0151515151515152;0,00145348837209302
2004-04-01;"Vanalinn";52;110;4906;0,472727272727273;0,0105992662046474
2004-04-01;"Veerenni";20;92;4077;0,217391304347826;0,0049055678194751
2004-07-01;"Astangu";18;207;3344;0,0869565217391304;0,00538277511961723
2004-07-01;"Haabersti";9;97;822;0,0927835051546392;0,0109489051094891
