qtr_year;region;total_count;region_area;tran_p_ha
01/07/2017;Väike-Õismäe;92;218;0,422018349
01/07/2017;Vana-Mustamäe;2;198;0,01010101
01/07/2017;Vanalinn;25;110;0,227272727
01/07/2017;Veerenni;35;92;0,380434783
01/07/2017;Vismeistri;2;143;0,013986014
01/10/2017;Astangu;64;207;0,309178744
01/10/2017;Haabersti;5;97;0,051546392
01/10/2017;Hiiu;6;263;0,022813688
01/10/2017;Järve;13;105;0,123809524
01/10/2017;Juhkentali;66;130;0,507692308
01/10/2017;Kadaka;78;281;0,277580071
01/10/2017;Kadriorg;61;256;0,23828125
01/10/2017;Kakumäe;6;251;0,023904382
01/10/2017;Kalamaja;145;210;0,69047619
01/10/2017;Karjamaa;46;97;0,474226804
01/10/2017;Kassisaba;39;45;0,866666667
01/10/2017;Katleri;64;38;1,684210526
01/10/2017;Keldrimäe;43;35;1,228571429
01/10/2017;Kelmiküla;9;21;0,428571429
01/10/2017;Kitseküla;51;140;0,364285714
01/10/2017;Kivimäe;5;222;0,022522523
01/10/2017;Kompassi;8;16;0,5
01/10/2017;Kopli;34;282;0,120567376
01/10/2017;Kose;5;346;0,014450867
01/10/2017;Kurepõllu;13;68;0,191176471
01/10/2017;Kuristiku;25;84;0,297619048
01/10/2017;Laagna;123;136;0,904411765
01/10/2017;Laagri;3;41;0,073170732
01/10/2017;Laiaküla;1;159;0,006289308
01/10/2017;Lepiku;9;162;0,055555556
01/10/2017;Liiva;2;264;0,007575758
01/10/2017;Lilleküla;111;546;0,203296703
01/10/2017;Loopealse;14;57;0,245614035
01/10/2017;Maakri;9;13;0,692307692
01/10/2017;Maarjamäe;5;155;0,032258065
01/10/2017;Mähe;20;282;0,070921986
01/10/2017;Männiku;22;447;0,049217002
01/10/2017;Merimetsa;1;134;0,007462687
01/10/2017;Merivälja;1;163;0,006134969
01/10/2017;Mustakivi;53;116;0,456896552
01/10/2017;Mustamäe;245;441;0,555555556
01/10/2017;Mustjõe;64;179;0,357541899
01/10/2017;Nõmme;14;480;0,029166667
01/10/2017;Õismäe;1;178;0,005617978
01/10/2017;Pääsküla;19;661;0,028744327
01/10/2017;Pae;48;58;0,827586207
01/10/2017;Paevälja;13;119;0,109243697
01/10/2017;Paljassaare;1;395;0,002531646
01/10/2017;Pelgulinn;80;238;0,336134454
01/10/2017;Pelguranna;76;100;0,76
