long;lat;order;hole;piece;id
546277,7655;6586239,483;2014;FALSE;1;Ülemiste
546247,16;6586256,74;2015;FALSE;1;Ülemiste
546213,89;6586301,57;2016;FALSE;1;Ülemiste
546213,8491;6586301,569;2017;FALSE;1;Ülemiste
546213,823;6586301,569;2018;FALSE;1;Ülemiste
546213,8098;6586301,568;2019;FALSE;1;Ülemiste
546213,8057;6586301,568;2020;FALSE;1;Ülemiste
546213,7992;6586301,568;2021;FALSE;1;Ülemiste
546057,7;6586297,88;2022;FALSE;1;Ülemiste
546029,198;6586297,446;2023;FALSE;1;Ülemiste
546029,1937;6586297,446;2024;FALSE;1;Ülemiste
545943,8991;6586296,146;2025;FALSE;1;Ülemiste
545901,49;6586295,5;2026;FALSE;1;Ülemiste
545829,6197;6586300,606;2027;FALSE;1;Ülemiste
545654,44;6586313,05;2028;FALSE;1;Ülemiste
545593,1783;6586315,198;2029;FALSE;1;Ülemiste
545593,1717;6586315,198;2030;FALSE;1;Ülemiste
545571,74;6586315,95;2031;FALSE;1;Ülemiste
545524,8;6586325,39;2032;FALSE;1;Ülemiste
545514,8028;6586319,933;2033;FALSE;1;Ülemiste
545514,76;6586319,91;2034;FALSE;1;Ülemiste
545514,4642;6586320,398;2035;FALSE;1;Ülemiste
545514,4587;6586320,407;2036;FALSE;1;Ülemiste
545365,81;6586565,78;2037;FALSE;1;Ülemiste
545183,5903;6586862,914;2038;FALSE;1;Ülemiste
545183,5792;6586862,932;2039;FALSE;1;Ülemiste
545182,63;6586864,48;2040;FALSE;1;Ülemiste
545056,743;6587037,907;2041;FALSE;1;Ülemiste
544981,6201;6587141,4;2042;FALSE;1;Ülemiste
544982,1403;6587143,872;2043;FALSE;1;Ülemiste
544982,1471;6587143,904;2044;FALSE;1;Ülemiste
544990,6;6587184,07;2045;FALSE;1;Ülemiste
544988,4272;6587186,144;2046;FALSE;1;Ülemiste
544969,4077;6587204,295;2047;FALSE;1;Ülemiste
544969,12;6587204,57;2048;FALSE;1;Ülemiste
544968,8637;6587204,805;2049;FALSE;1;Ülemiste
544968,8593;6587204,809;2050;FALSE;1;Ülemiste
544968,8561;6587204,812;2051;FALSE;1;Ülemiste
544968,8509;6587204,816;2052;FALSE;1;Ülemiste
544968,8462;6587204,821;2053;FALSE;1;Ülemiste
544927,6401;6587242,55;2054;FALSE;1;Ülemiste
544889,65;6587273,81;2055;FALSE;1;Ülemiste
544862,6725;6587306,023;2056;FALSE;1;Ülemiste
544862,6557;6587306,043;2057;FALSE;1;Ülemiste
544841,1114;6587331,768;2058;FALSE;1;Ülemiste
544841,1096;6587331,771;2059;FALSE;1;Ülemiste
544789,9387;6587393,243;2060;FALSE;1;Ülemiste
544789,6;6587393,65;2061;FALSE;1;Ülemiste
544773,3046;6587419,863;2062;FALSE;1;Ülemiste
544769,16;6587426,53;2063;FALSE;1;Ülemiste
544704,16;6587515,96;2064;FALSE;1;Ülemiste
544673,82;6587557,64;2065;FALSE;1;Ülemiste
544674,5771;6587564,37;2066;FALSE;1;Ülemiste
544674,7201;6587565,64;2067;FALSE;1;Ülemiste
544685,83;6587596,71;2068;FALSE;1;Ülemiste
544677,8743;6587645,275;2069;FALSE;1;Ülemiste
544674,91;6587663,37;2070;FALSE;1;Ülemiste
544675,0041;6587663,361;2071;FALSE;1;Ülemiste
544707,0887;6587660,975;2072;FALSE;1;Ülemiste
544828,0605;6587694,094;2073;FALSE;1;Ülemiste
544958,0025;6587730,742;2074;FALSE;1;Ülemiste
544990,9731;6587740,029;2075;FALSE;1;Ülemiste
545057,3641;6587758,263;2076;FALSE;1;Ülemiste
545118,4551;6587774,688;2077;FALSE;1;Ülemiste
545161,6555;6587786,214;2078;FALSE;1;Ülemiste
545215,4765;6587801,019;2079;FALSE;1;Ülemiste
545264,1371;6587814,415;2080;FALSE;1;Ülemiste
545275,0573;6587817,414;2081;FALSE;1;Ülemiste
545279,7575;6587819,783;2082;FALSE;1;Ülemiste
545344,3987;6587839,567;2083;FALSE;1;Ülemiste
545420,6795;6587856,76;2084;FALSE;1;Ülemiste
545455,0325;6587894,217;2085;FALSE;1;Ülemiste
545464,8447;6587919,676;2086;FALSE;1;Ülemiste
545504,4187;6587969,732;2087;FALSE;1;Ülemiste
545508,8591;6587975,341;2088;FALSE;1;Ülemiste
545518,7203;6587987,82;2089;FALSE;1;Ülemiste
545545,1225;6588015,638;2090;FALSE;1;Ülemiste
545560,3037;6588031,846;2091;FALSE;1;Ülemiste
545574,7151;6588047,235;2092;FALSE;1;Ülemiste
545604,4975;6588078,602;2093;FALSE;1;Ülemiste
545631,2899;6588106,739;2094;FALSE;1;Ülemiste
545637,8705;6588114,168;2095;FALSE;1;Ülemiste
545665,7929;6588143,726;2096;FALSE;1;Ülemiste
