qtr_year;region;total_count;region_area;tran_p_ha
1.01.2016;Tiskre;7;139;0,050359712
1.01.2016;Tondi;18;133;0,135338346
1.01.2016;Tõnismäe;3;22;0,136363636
1.01.2016;Torupilli;21;51;0,411764706
1.01.2016;Ülemiste;5;340;0,014705882
1.01.2016;Uus Maailm;37;65;0,569230769
1.01.2016;Väike-Õismäe;121;218;0,555045872
1.01.2016;Vana-Mustamäe;3;198;0,015151515
1.01.2016;Vanalinn;20;110;0,181818182
1.01.2016;Veerenni;31;92;0,336956522
1.01.2016;Vismeistri;4;143;0,027972028
1.04.2016;Astangu;51;207;0,246376812
1.04.2016;Haabersti;4;97;0,041237113
1.04.2016;Hiiu;8;263;0,030418251
1.04.2016;Järve;16;105;0,152380952
1.04.2016;Juhkentali;11;130;0,084615385
1.04.2016;Kadaka;97;281;0,34519573
1.04.2016;Kadriorg;48;256;0,1875
1.04.2016;Kakumäe;4;251;0,015936255
1.04.2016;Kalamaja;122;210;0,580952381
1.04.2016;Karjamaa;26;97;0,268041237
1.04.2016;Kassisaba;22;45;0,488888889
1.04.2016;Katleri;12;38;0,315789474
1.04.2016;Keldrimäe;40;35;1,142857143
1.04.2016;Kelmiküla;8;21;0,380952381
1.04.2016;Kitseküla;42;140;0,3
1.04.2016;Kivimäe;5;222;0,022522523
1.04.2016;Kompassi;13;16;0,8125
1.04.2016;Kopli;26;282;0,092198582
1.04.2016;Kose;10;346;0,028901734
1.04.2016;Kurepõllu;25;68;0,367647059
1.04.2016;Kuristiku;32;84;0,380952381
1.04.2016;Laagna;123;136;0,904411765
1.04.2016;Laagri;1;41;0,024390244
1.04.2016;Laiaküla;1;159;0,006289308
1.04.2016;Lepiku;3;162;0,018518519
1.04.2016;Liiva;2;264;0,007575758
1.04.2016;Lilleküla;148;546;0,271062271
1.04.2016;Loopealse;23;57;0,403508772
1.04.2016;Maakri;4;13;0,307692308
1.04.2016;Maarjamäe;7;155;0,04516129
1.04.2016;Mähe;35;282;0,124113475
1.04.2016;Männiku;20;447;0,044742729
1.04.2016;Merimetsa;1;134;0,007462687
1.04.2016;Merivälja;2;163;0,012269939
1.04.2016;Mustakivi;56;116;0,482758621
1.04.2016;Mustamäe;220;441;0,498866213
1.04.2016;Mustjõe;4;179;0,022346369
1.04.2016;Nõmme;11;480;0,022916667
1.04.2016;Õismäe;2;178;0,011235955
1.04.2016;Pääsküla;22;661;0,033282905
1.04.2016;Pae;32;58;0,551724138
1.04.2016;Paevälja;13;119;0,109243697
1.04.2016;Pelgulinn;75;238;0,31512605
1.04.2016;Pelguranna;94;100;0,94
1.04.2016;Pikaliiva;56;447;0,125279642
1.04.2016;Priisle;35;185;0,189189189
1.04.2016;Rahumäe;3;162;0,018518519
1.04.2016;Raua;46;31;1,483870968
1.04.2016;Raudalu;6;180;0,033333333
1.04.2016;Sääse;33;61;0,540983607
1.04.2016;Sadama;18;139;0,129496403
1.04.2016;Seli;53;95;0,557894737
1.04.2016;Sibulaküla;9;13;0,692307692
1.04.2016;Siili;13;26;0,5
1.04.2016;Sikupilli;99;135;0,733333333
1.04.2016;Sitsi;14;45;0,311111111
1.04.2016;Sõjamäe;1;747;0,001338688
1.04.2016;Tatari;11;22;0,5
1.04.2016;Tiskre;14;139;0,100719424
1.04.2016;Tondi;41;133;0,308270677
1.04.2016;Tõnismäe;6;22;0,272727273
1.04.2016;Torupilli;27;51;0,529411765
1.04.2016;Ülemiste;5;340;0,014705882
1.04.2016;Uus Maailm;70;65;1,076923077
1.04.2016;Uuslinn;4;22;0,181818182
1.04.2016;Väike-Õismäe;128;218;0,587155963
1.04.2016;Vana-Mustamäe;1;198;0,005050505
1.04.2016;Vanalinn;23;110;0,209090909
1.04.2016;Väo;4;408;0,009803922
1.04.2016;Veerenni;20;92;0,217391304
1.04.2016;Vismeistri;1;143;0,006993007
1.07.2016;Astangu;21;207;0,101449275
1.07.2016;Haabersti;6;97;0,06185567
1.07.2016;Hiiu;7;263;0,02661597
1.07.2016;Järve;8;105;0,076190476
1.07.2016;Juhkentali;21;130;0,161538462
1.07.2016;Kadaka;41;281;0,145907473
1.07.2016;Kadriorg;73;256;0,28515625
1.07.2016;Kakumäe;5;251;0,019920319
1.07.2016;Kalamaja;163;210;0,776190476
1.07.2016;Karjamaa;21;97;0,216494845
1.07.2016;Kassisaba;23;45;0,511111111
1.07.2016;Katleri;15;38;0,394736842
1.07.2016;Keldrimäe;86;35;2,457142857
1.07.2016;Kelmiküla;6;21;0,285714286
1.07.2016;Kitseküla;54;140;0,385714286
1.07.2016;Kivimäe;35;222;0,157657658
1.07.2016;Kompassi;15;16;0,9375
1.07.2016;Kopli;31;282;0,109929078
1.07.2016;Kose;30;346;0,086705202
1.07.2016;Kurepõllu;21;68;0,308823529
1.07.2016;Kuristiku;21;84;0,25
1.07.2016;Laagna;106;136;0,779411765
1.07.2016;Laagri;2;41;0,048780488
1.07.2016;Lepiku;6;162;0,037037037
1.07.2016;Liiva;2;264;0,007575758
1.07.2016;Lilleküla;114;546;0,208791209
1.07.2016;Loopealse;19;57;0,333333333
1.07.2016;Maakri;11;13;0,846153846
1.07.2016;Maarjamäe;9;155;0,058064516
1.07.2016;Mähe;16;282;0,056737589
1.07.2016;Männiku;24;447;0,053691275
1.07.2016;Merimetsa;1;134;0,007462687
1.07.2016;Merivälja;7;163;0,042944785
1.07.2016;Mõigu;2;70;0,028571429
1.07.2016;Mustakivi;59;116;0,50862069
1.07.2016;Mustamäe;237;441;0,537414966
1.07.2016;Mustjõe;8;179;0,044692737
1.07.2016;Nõmme;15;480;0,03125
1.07.2016;Õismäe;2;178;0,011235955
1.07.2016;Pääsküla;20;661;0,030257186
1.07.2016;Pae;39;58;0,672413793
1.07.2016;Paevälja;13;119;0,109243697
1.07.2016;Paljassaare;2;395;0,005063291
1.07.2016;Pelgulinn;99;238;0,415966387
1.07.2016;Pelguranna;140;100;1,4
1.07.2016;Pikaliiva;57;447;0,127516779
1.07.2016;Priisle;43;185;0,232432432
1.07.2016;Rahumäe;3;162;0,018518519
1.07.2016;Raua;32;31;1,032258065
1.07.2016;Sääse;29;61;0,475409836
1.07.2016;Sadama;26;139;0,18705036
1.07.2016;Seli;48;95;0,505263158
1.07.2016;Sibulaküla;9;13;0,692307692
1.07.2016;Siili;14;26;0,538461538
1.07.2016;Sikupilli;73;135;0,540740741
1.07.2016;Sitsi;23;45;0,511111111
1.07.2016;Südalinn;2;25;0,08
1.07.2016;Tatari;16;22;0,727272727
1.07.2016;Tiskre;17;139;0,122302158
1.07.2016;Tondi;25;133;0,187969925
1.07.2016;Tõnismäe;8;22;0,363636364
1.07.2016;Torupilli;32;51;0,62745098
1.07.2016;Ülemiste;3;340;0,008823529
1.07.2016;Uus Maailm;55;65;0,846153846
1.07.2016;Uuslinn;2;22;0,090909091
1.07.2016;Väike-Õismäe;103;218;0,472477064
1.07.2016;Vana-Mustamäe;1;198;0,005050505
1.07.2016;Vanalinn;21;110;0,190909091
1.07.2016;Väo;1;408;0,00245098
1.07.2016;Veerenni;23;92;0,25
1.10.2016;Astangu;48;207;0,231884058
1.10.2016;Haabersti;4;97;0,041237113
1.10.2016;Hiiu;8;263;0,030418251
1.10.2016;Järve;22;105;0,20952381
1.10.2016;Juhkentali;10;130;0,076923077
1.10.2016;Kadaka;29;281;0,103202847
1.10.2016;Kadriorg;55;256;0,21484375
1.10.2016;Kakumäe;9;251;0,035856574
1.10.2016;Kalamaja;134;210;0,638095238
1.10.2016;Karjamaa;57;97;0,587628866
1.10.2016;Kassisaba;17;45;0,377777778
1.10.2016;Katleri;20;38;0,526315789
1.10.2016;Keldrimäe;130;35;3,714285714
1.10.2016;Kelmiküla;22;21;1,047619048
1.10.2016;Kitseküla;33;140;0,235714286
1.10.2016;Kivimäe;17;222;0,076576577
1.10.2016;Kompassi;16;16;1
1.10.2016;Kopli;35;282;0,124113475
1.10.2016;Kose;42;346;0,121387283
1.10.2016;Kurepõllu;22;68;0,323529412
1.10.2016;Kuristiku;32;84;0,380952381
1.10.2016;Laagna;150;136;1,102941176
1.10.2016;Laagri;1;41;0,024390244
1.10.2016;Laiaküla;1;159;0,006289308
1.10.2016;Lepiku;7;162;0,043209877
1.10.2016;Liiva;30;264;0,113636364
